1.000000000000000056e-01 1.180838749879779659e+00 6.754456912935767887e-01
1.000932063984100312e-01 1.180310134241156605e+00 6.739789274049220458e-01
1.001864996711471084e-01 1.179781775511248743e+00 6.725122831124793477e-01
1.002798798991836465e-01 1.179253673576573291e+00 6.710457580596745908e-01
1.003733471635675778e-01 1.178725828323706537e+00 6.695793518898978114e-01
1.004669015454223435e-01 1.178198239639283607e+00 6.681130642465121783e-01
1.005605431259469773e-01 1.177670907409994028e+00 6.666468947728486638e-01
1.006542719864162022e-01 1.177143831522585948e+00 6.651808431122079313e-01
1.007480882081805834e-01 1.176617011863866580e+00 6.637149089078581143e-01
1.008419918726663894e-01 1.176090448320698867e+00 6.622490918030389251e-01
1.009359830613758280e-01 1.175564140780001265e+00 6.607833914409564358e-01
1.010300618558870878e-01 1.175038089128753072e+00 6.593178074647875198e-01
1.011242283378543938e-01 1.174512293253989981e+00 6.578523395176741895e-01
1.012184825890080353e-01 1.173986753042803199e+00 6.563869872427311458e-01
1.013128246911545322e-01 1.173461468382341444e+00 6.549217502830361193e-01
1.014072547261766211e-01 1.172936439159813604e+00 6.534566282816388627e-01
1.015017727760333804e-01 1.172411665262480529e+00 6.519916208815549341e-01
1.015963789227602443e-01 1.171887146577667238e+00 6.505267277257683611e-01
1.016910732484691549e-01 1.171362882992747600e+00 6.490619484572289766e-01
1.017858558353485349e-01 1.170838874395160323e+00 6.475972827188548608e-01
1.018807267656634818e-01 1.170315120672396070e+00 6.461327301535316758e-01
1.019756861217557264e-01 1.169791621712005014e+00 6.446682904041113327e-01
1.020707339860437296e-01 1.169268377401595727e+00 6.432039631134131019e-01
1.021658704410227936e-01 1.168745387628828070e+00 6.417397479242216152e-01
1.022610955692651313e-01 1.168222652281425189e+00 6.402756444792884194e-01
1.023564094534198804e-01 1.167700171247163077e+00 6.388116524213333092e-01
1.024518121762132278e-01 1.167177944413878343e+00 6.373477713930388866e-01
1.025473038204484932e-01 1.166655971669459113e+00 6.358840010370557794e-01
1.026428844690061154e-01 1.166134252901858348e+00 6.344203409959994211e-01
1.027385542048438460e-01 1.165612787999079636e+00 6.329567909124521607e-01
1.028343131109967085e-01 1.165091576849183630e+00 6.314933504289601540e-01
1.029301612705771640e-01 1.164570619340292934e+00 6.300300191880356948e-01
1.030260987667750705e-01 1.164049915360580112e+00 6.285667968321562160e-01
1.031221256828579458e-01 1.163529464798278568e+00 6.271036830037629572e-01
1.032182421021708013e-01 1.163009267541680325e+00 6.256406773452635184e-01
1.033144481081363780e-01 1.162489323479130476e+00 6.241777794990294170e-01
1.034107437842551741e-01 1.161969632499031624e+00 6.227149891073956445e-01
1.035071292141055005e-01 1.161450194489843657e+00 6.212523058126641073e-01
